location,n_peak,peak_magnitude_norm,cluster_fd_km,cluster_fd_agg,cluster_fd_jenks,cluster_sturges_jenks,cluster_scott_jenks,mask_use,mobility,vaccination_1_dose,vaccination_full,reproduction_rate,new_tests,positive_rate,tests_per_case,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,life_expectancy,human_development_index
Bahamas,5.0,1.3915784671884,32.0,27.0,3.0,1.0,2.0,40.39,6.0,166781.0,156774.0,1.19,29855.0,217.0,4.6,44.44,39497.0,34.3,8996.0,5.2,27717847.0,0.3666666666666667,235954.0,13.17,3.1,20.4,90681.33333333333,73.92,814.0
Bahrain,1.0,3.8992735180941,12.0,17.0,7.0,2.0,3.0,59.56,-20.0,0.0,0.0,1.14,41685.666666666664,0.0708,14.1,60.19,1935907.0,32.4,2372.0,1387.0,43290705.0,0.4666666666666666,151689.0,16.52,5.8,37.6,85198.0,77.29,852.0
Bahrain,2.0,14.7735952780428,16.0,16.0,18.0,5.0,7.0,72.69,-16.0,890450.0,732710.0,1.21,19951.0,0.1409,7.1,53.7,1935907.0,32.4,2372.0,1387.0,43290705.0,0.4666666666666666,151689.0,16.52,5.8,37.6,85198.0,77.29,852.0
Bahrain,3.0,38.6051456143073,18.0,20.0,27.0,8.0,10.0,65.71,-5.0,1227732.0,1154068.0,1.26,33630.0,0.2439,4.1,50.93,1935907.0,32.4,2372.0,1387.0,43290705.0,0.4666666666666666,151689.0,16.52,5.8,37.6,85198.0,77.29,852.0
Bangladesh,1.0,0.216552471276687,8.0,13.0,1.0,1.0,1.0,68.04,-48.0,0.0,0.0,1.09,18498.0,218.0,4.6,74.54,1265036.0,27.5,5098.0,3262.0,3523984.0,14.8,298003.0,8.38,1.0,44.7,34808.0,72.59,632.0
Bangladesh,2.0,0.375346274829878,29.0,13.0,2.0,1.0,1.0,65.07,-24.0,5568703.0,80178.0,1.26,34630.0,0.2258,4.4,83.33,1265036.0,27.5,5098.0,3262.0,3523984.0,14.8,298003.0,8.38,1.0,44.7,34808.0,72.59,632.0
Bangladesh,3.0,0.772954285415152,21.0,6.0,2.0,1.0,1.0,65.01,-39.0,8803650.0,4338165.0,1.15,49529.0,0.2975,3.4,93.52,1265036.0,27.5,5098.0,3262.0,3523984.0,14.8,298003.0,8.38,1.0,44.7,34808.0,72.59,632.0
Bangladesh,4.0,0.745831218528536,29.0,6.0,2.0,1.0,1.0,52.1,28.0,97841338.0,60963557.0,1.35,46268.0,0.3174,3.2,68.52,1265036.0,27.5,5098.0,3262.0,3523984.0,14.8,298003.0,8.38,1.0,44.7,34808.0,72.59,632.0
Barbados,1.0,2.55250701082478,22.0,7.0,5.0,2.0,2.0,29.0,-75.0,6683.0,221.0,1.19,23509.666666666668,194.46856666666667,5.7,74.07,664463.0,39.8,14952.0,9473.0,16978068.0,3.1,170.05,13.57,1.9,14.5,88469.0,79.19,814.0
Barbados,2.0,11.8903081655218,20.0,1.0,16.0,4.0,6.0,57.69,-14.0,148451.0,124043.0,1.07,23509.666666666668,194.46856666666667,5.7,67.59,664463.0,39.8,14952.0,9473.0,16978068.0,3.1,170.05,13.57,1.9,14.5,88469.0,79.19,814.0
