index,n_pico,location,peak_date,peak_magnitude,mask_use,mobility,vaccination_1_dose,vaccination_full,iso_code,continent,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
113,6,Argentina,2022-05-29,6816.89417310329,51.65,14,35916165,33761195,ARG,South America,9230573,7396857,128889,9143,202399001,1135337,162191,2826152,1403,0.2,-0.02,,,,,,,,,36418189,8760,798543,192,20056,0.44,303,3.3,tests performed,102792875,41131841,37470378,24505869,56795,147090,225.39,90.19,82.16,53.73,3225,1933,4,,45605823,16177,31.9,11198,7441,18933907,0.6,191032,5.5,16.2,27.7,,5,76.67,845,,,,
115,2,Armenia,2020-06-27,582.020308593479,74.56,-17,,,ARM,Asia,23909,600143,421,12714,8055246,223036,202196,141.84,3706,4284,1.1,,,,,,,,,109173,2065,36782,696,1917,646,326,3.1,tests performed,,,,,,,,,,,,,,,2968128,102931,35.7,11232,7571,8787.58,1.8,341.01,7.11,1.5,52.1,94043,4.2,75.09,776,,,,
116,3,Armenia,2020-10-31,2014.27029068306,66.65,-14,,,ARM,Asia,89813,2041429,1341,26286,30259.14,802189,687783,451.8,13813,8856,1.16,,,,,,,,,407980,5392,137454,1817,4377,1475,471,2.1,tests performed,,,,,,,,,,,,,,,2968128,102931,35.7,11232,7571,8787.58,1.8,341.01,7.11,1.5,52.1,94043,4.2,75.09,776,4061,19.47,84.04,1368.202449
118,5,Armenia,2021-03-30,908.696051086585,45.88,-14,0,0,ARM,Asia,191491,924429,3497,16143,64515749,252685,311452,1178184,7075,5439,1.1,,,,,,,,,853829,6354,287666,2141,5203,1753,177,5.6,tests performed,,,,,,,,,,,,,,,2968128,102931,35.7,11232,7571,8787.58,1.8,341.01,7.11,1.5,52.1,94043,4.2,75.09,776,,,,
119,6,Armenia,2021-10-26,1854.26014185052,40.09,-3,526399,223123,ARM,Asia,298069,1976,6112,38571,100423.23,511097,665739,2059.21,19204,12995,1.14,,,,,,,,,2033371,13696,685069,4614,15292,5152,129,7.8,tests performed,,,,,,14046,,,,,4732,9787,0.33,,2968128,102931,35.7,11232,7571,8787.58,1.8,341.01,7.11,1.5,52.1,94043,4.2,75.09,776,,,,
120,7,Armenia,2022-02-04,2811.2590174405,32.4,-8,1053086,854190,ARM,Asia,383458,3100571,8075,5714,129191868,1412338,1044622,2720.57,3369,1925,1.49,,,,,,,,,2772936,8857,934237,2984,7919,2668,417,2.4,tests performed,,,,,,6669,,,,,2247,3558,0.12,,2968128,102931,35.7,11232,7571,8787.58,1.8,341.01,7.11,1.5,52.1,94043,4.2,75.09,776,,,,
156,13,Australia,2022-01-12,90536.6174650261,59.31,-24,20942117,19685590,AUS,Oceania,1398776,102078.143,2522,31.429,54240.896,6796.554,3958.325,97.797,2.21,1.219,1.54,349,13.533,4197,162.749,,,,,57850394,288897,2243.288,11.203,253146,9.816,0.264,3.8,tests performed,45045755,20714403,19967401,4363951,345035,251371,174.68,80.33,77.43,16.92,9748,32249,0.125,40.28,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
157,14,Australia,2022-03-31,55766.6650605979,22.37,-11,22304774,20966488,AUS,Oceania,4573066,56084.714,6008,22.571,177331.608,2535.46,2174.819,232.975,0.582,0.875,1.09,88,3.412,2533,98.223,,,,,66546212,129771,2580.489,5.032,119940,4.651,0.187,5.3,tests performed,56362692,22210293,21240452,12911947,59518,61397,218.56,86.13,82.36,50.07,2381,3856,0.015,48.61,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
158,15,Australia,2022-05-14,48877.6102535022,20.17,-6,22304774,20966488,AUS,Oceania,6590066,49084.571,7794,40.714,255545.624,1616.94,1903.372,302.231,0.969,1.579,1.09,129,5.002,2988,115.867,,,,,70522263,88971,2734.67,3.45,88936,3.449,0.199,5,tests performed,57434271,22297311,21571384,13565576,5286,13485,222.72,86.46,83.65,52.6,523,1223,0.005,43.06,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
162,4,Austria,2020-11-12,6573.32398672564,58.28,-31,,,AUT,Europe,174910,6700714,2108,64857,19341879,822176,740978,233107,7962,7172,1.22,546,60378,3811,421428,,,,,2575405,38226,284793,4227,30351,3356,,,tests performed,,,,,,,,,,,,,,75,9043072,106749,44.4,19202,13748,45436686,0.7,145183,6.35,28.4,30.9,,7.37,81.54,922,,,,
164,6,Austria,2021-03-26,3078.47366439882,52.21,-28,1191356,440147,AUT,Europe,522107,3144143,11239,32571,57735579,381176,347685,1242.83,3096,3602,1.07,471,52084,2164,239299,,,,,22051094,485632,2438452,53702,315077,34842,0.01,100.2,tests performed,1631621,1191453,440164,61,,35685,18.04,13.18,4.87,0,3946,22312,247,73.15,9043072,106749,44.4,19202,13748,45436686,0.7,145183,6.35,28.4,30.9,,7.37,81.54,922,,,,
166,8,Austria,2021-11-20,12802.316831058,43.74,-14,6327506,5823533,AUT,Europe,1025373,13236286,14746,54143,113387685,1645569,1463694,1630641,5971,5987,1.23,525,58055,2872,317591,,,,,106308001,430547,11755.74,47611,473985,52414,0.0279,35.8,tests performed,,,,,,100487,,,,,11112,15726,174,59.26,9043072,106749,44.4,19202,13748,45436686,0.7,145183,6.35,28.4,30.9,,7.37,81.54,922,,,,
