location,n_pico,peak_date,peak_magnitude,mask_use,mobility,vaccination_1_dose,vaccination_full,iso_code,continent,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
India,3,2021-05-16,"4064,133335","81,42",-65,146179673,40920466,IND,Asia,24965463,328984,274390,"4039,143","17916,823","201,941","236,1","196,92","2,947","2,899","0,86",,,,,,,,,,,,,1777851,"1,276","0,185","5,4",samples tested,182251006,141764335,40486671,,706470,1992305,"13,08","10,17","2,91",,1430,1129951,"0,081","81,94",1393409033,"450,419","28,2","5,989","3,414","6426,674","21,2","282,28","10,39","1,9","20,6","59,55","0,53","69,66","0,645",,,,
India,7,2022-02-03,"986,3087416","62,7",-3,889378290,701166935,IND,Asia,41952712,"190000,429",500055,1104,"30107,966","107,215","136,357","358,872","0,769","0,792","0,63",,,,,,,,,734192614,1752628,"526,904","1,258",1718052,"1,233","0,1106",9,samples tested,1681517744,947341172,721020585,13155987,4487064,6057863,"120,68","67,99","51,75","0,94",4348,1720903,"0,124","81,94",1393409033,"450,419","28,2","5,989","3,414","6426,674","21,2","282,28","10,39","1,9","20,6","59,55","0,53","69,66","0,645",,,,
Indonesia,5,2021-01-25,"280,5546596","76,83",-30,161959,2734,IDN,Asia,999256,"11748,714",28132,"264,286","3615,753","36,163","42,512","101,794","1,075","0,956","1,08",,,,,,,,,,,,,,,,,,161959,161959,,,12717,11823,"0,06","0,06",,,43,11823,"0,004","64,35",276361788,"145,725","29,3","5,319","3,053","11188,744","5,7","342,864","6,32","2,8","76,1","64,204","1,04","71,72","0,718",,,,
Indonesia,8,2021-08-01,"1663,640547","77,93",-29,47481533,20673079,IDN,Asia,3440396,"39127,286",95723,"1777,714","12448,885","111,224","141,58","346,368","5,804","6,433","0,89",,,,,,,,,17975528,112661,"65,043","0,408",155428,"0,562","0,2517",4,people tested,68151247,47478168,20673079,,389910,824967,"24,66","17,18","7,48",,2985,429742,"0,155","71,76",276361788,"145,725","29,3","5,319","3,053","11188,744","5,7","342,864","6,32","2,8","76,1","64,204","1,04","71,72","0,718",,,,
Indonesia,10,2022-03-05,"287,7188756","66,92",-6,191838793,147280509,IDN,Asia,5723858,"31348,571",149918,"296,286","20711,467","109,118","113,433","542,47","1,165","1,072","0,74",,,,,,,,,57333578,216438,"207,458","0,783",202652,"0,733","0,1547","6,5",people tested,352266904,191835428,147280509,12405103,1208004,1143706,"127,47","69,41","53,29","4,49",4138,166163,"0,06","68,98",276361788,"145,725","29,3","5,319","3,053","11188,744","5,7","342,864","6,32","2,8","76,1","64,204","1,04","71,72","0,718",,,,
Iran,1,2020-03-28,"135,3276878","22,98",-52,,,IRN,Asia,35408,2114,2517,"137,286","416,424","36,176","24,862","29,602","1,635","1,615","1,73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57,41",85028760,"49,831","32,4","5,44","3,182","19082,62","0,2","270,308","9,59","0,8","21,1",,"1,5","76,68","0,783",,,,
Iran,2,2020-07-25,"210,7149013","48,75",-21,,,IRN,Asia,288839,"2461,857",15484,215,"3396,957","27,238","28,953","182,103","2,293","2,529","1,01",,,,,,,,,,,,,25757,"0,303","0,0956","10,5",tests performed,,,,,,,,,,,,,,"58,8",85028760,"49,831","32,4","5,44","3,182","19082,62","0,2","270,308","9,59","0,8","21,1",,"1,5","76,68","0,783",,,,
Iran,3,2020-11-17,"462,6985015","52,72",-16,,,IRN,Asia,788473,"12169,286",42461,"465,571","9273,015","157,029","143,12","499,372","5,669","5,475","1,21",,,,,,,,,5586141,40697,"65,697","0,479",40563,"0,477","0,3","3,3",tests performed,,,,,,,,,,,,,,"70,83",85028760,"49,831","32,4","5,44","3,182","19082,62","0,2","270,308","9,59","0,8","21,1",,"1,5","76,68","0,783",,,,
Iran,5,2021-04-26,"403,1017372","54,56",-14,669577,178659,IRN,Asia,2417230,"22256,429",70070,420,"28428,381","247,281","261,752","824,074","5,833","4,94","0,92",,,,,,,,,15313657,,"180,1",,115531,"1,359","0,1926","5,2",tests performed,,,,,,42587,,,,,501,36213,"0,043","81,48",85028760,"49,831","32,4","5,44","3,182","19082,62","0,2","270,308","9,59","0,8","21,1",,"1,5","76,68","0,783",,,,
Iran,6,2021-08-26,"618,8775996","45,71",6,17612039,6856443,IRN,Asia,4833135,"35064,571",104716,"637,286","56841,179","432,301","412,385","1231,536","8,162","7,495","1,01",,,,,,,,,28330070,116841,"333,182","1,374",107202,"1,261","0,3271","3,1",tests performed,,,,,,463194,,,,,5447,204376,"0,24","70,83",85028760,"49,831","32,4","5,44","3,182","19082,62","0,2","270,308","9,59","0,8","21,1",,"1,5","76,68","0,783",,,,
Iran,7,2022-02-24,"208,9433654","38,93",21,62773100,55293457,IRN,Asia,7011932,"16831,714",135952,"218,857","82465,415","152,384","197,953","1598,894","2,658","2,574","0,66",,,,,,,,,,,,,78779,"0,926","0,2137","4,7",tests performed,,,,,,294126,,,,,3459,114016,"0,134","62,04",85028760,"49,831","32,4","5,44","3,182","19082,62","0,2","270,308","9,59","0,8","21,1",,"1,5","76,68","0,783",,,,
Iraq,2,2020-07-03,"100,3464446","41,78",-36,,,IRQ,Asia,56020,"2118,143",2262,"100,429","1360,391","56,145","51,437","54,93","2,477","2,439","1,12",,,,,,,,,579861,12176,"14,081","0,296",11305,"0,275","0,1874","5,3",tests performed,,,,,,,,,,,,,,"92,59",41179351,"88,125",20,"3,186","1,957","15663,986","2,5","218,612","8,83",,,"94,576","1,4","70,6","0,674",,,,
Iraq,5,2021-04-24,"39,19737524","36,87",5,301615,60979,IRQ,Asia,1025288,"7757,286",15217,"38,429","24898,11","169,187","188,378","369,53","1,044","0,933",1,,,,,,,,,9076934,41757,"220,424","1,014",44144,"1,072","0,1757","5,7",tests performed,,,,,,13532,,,,,329,12764,"0,031","71,76",41179351,"88,125",20,"3,186","1,957","15663,986","2,5","218,612","8,83",,,"94,576","1,4","70,6","0,674",,,,
Iraq,7,2021-08-21,"71,99026159","33,62",39,2812449,1579260,IRQ,Asia,1819455,"7243,143",20110,72,"44183,674","96,116","175,893","488,352","2,064","1,748","0,79",,,,,,,,,13966576,23279,"339,165","0,565",36360,"0,883","0,1992",5,tests performed,,,,,,53466,,,,,1298,48450,"0,118","75,93",41179351,"88,125",20,"3,186","1,957","15663,986","2,5","218,612","8,83",,,"94,576","1,4","70,6","0,674",,,,
Iraq,9,2022-02-11,"24,68236753","24,5",71,9552771,6536646,IRQ,Asia,2271521,4461,24655,"25,571","55161,651","91,696","108,331","598,722","0,704","0,621","0,67",,,,,,,,,,,,,22124,"0,537","0,2016",5,tests performed,,,,,,40689,,,,,988,21976,"0,053","64,81",41179351,"88,125",20,"3,186","1,957","15663,986","2,5","218,612","8,83",,,"94,576","1,4","70,6","0,674",,,,
Ireland,1,2020-04-23,"51,58664089","7,69",-73,,,IRL,Europe,17607,"619,429",794,44,"3533,482","187,842","124,311","159,345","5,017","8,83","0,92",123,"24,684",742,"148,909",,,,,122053,4871,"24,494","0,978",3499,"0,702","0,18","5,6",tests performed,,,,,,,,,,,,,,"90,74",4982904,"69,874","38,7","13,928","8,678","67335,293","0,2","126,459","3,28",23,"25,7",,"2,96","82,3","0,955",,,,
